energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.585,0.132,76.958,0.0435,0.721,0.0,4,0.617,4,281427,-7.5,0.352,1,audio_features,spotify:track:6oV8HazS5rJB3jU3oPhYep
0.373,0.197,163.382,0.0542,0.754,0.0,3,0.559,0,301560,-9.612,0.596,1,audio_features,spotify:track:6cbyVJ3EBWJ2ay8nffhNhh
0.75,0.358,126.997,0.0434,0.163,4.17e-06,4,0.743,4,237333,-5.542,0.725,1,audio_features,spotify:track:3S8dSkmoZYnTxQ6PdSGECY
0.571,0.0929,111.961,0.0325,0.0161,0.0,4,0.572,2,249813,-7.316,0.403,1,audio_features,spotify:track:4W9jNeSYxoe10Dtqb8w0xr
0.794,0.25,131.05,0.0422,0.452,2.24e-06,4,0.753,7,254253,-4.145,0.446,1,audio_features,spotify:track:7dLrfebVWL7om3SEEQucqI
0.478,0.101,98.473,0.0388,0.0267,2.9e-05,4,0.674,2,272773,-8.456,0.241,1,audio_features,spotify:track:1YjQWjlYJdVOdFsRBbvKJ3
0.559,0.171,150.123,0.031,0.373,0.0,4,0.68,8,266267,-6.45,0.747,1,audio_features,spotify:track:2Y4AtGY7hakhkyOZ53CaSZ
0.654,0.0671,120.706,0.0335,0.626,5.38e-06,4,0.736,2,343120,-7.444,0.56,1,audio_features,spotify:track:3rEVEZK3Dq8t0HxUNMHZML
0.521,0.156,147.495,0.0332,0.489,0.00184,4,0.699,7,294973,-8.633,0.332,1,audio_features,spotify:track:1fm8q8fynkggbVDXShFoiw
0.786,0.272,87.539,0.216,0.696,0.0,4,0.706,4,281360,-4.431,0.8,1,audio_features,spotify:track:5H65WGGLMlGGh17kh77vG4
0.406,0.135,148.324,0.135,0.359,0.0,4,0.668,7,292107,-6.93,0.215,1,audio_features,spotify:track:3oEAkvivr8nAtvJEgVb82G
0.706,0.178,96.213,0.0511,0.567,0.00108,4,0.747,7,262427,-6.245,0.758,0,audio_features,spotify:track:3i4LJ0XpihytzLLBbjhLpe
0.321,0.14,137.245,0.0309,0.63,0.00872,4,0.42,9,179987,-10.444,0.336,1,audio_features,spotify:track:5eKPOJGqEt7q298KVIZAge
0.758,0.339,137.538,0.0658,0.107,1.87e-06,4,0.734,9,395800,-4.7,0.624,1,audio_features,spotify:track:6C8UwgHoBMSlYMh3cgIyp9
0.699,0.171,158.315,0.0431,0.171,6.34e-05,4,0.448,4,245787,-6.669,0.519,1,audio_features,spotify:track:422pXYy4BQn6lvCbArsrGs
0.49,0.364,71.984,0.0291,0.332,0.0,4,0.635,7,306840,-8.149,0.416,1,audio_features,spotify:track:3hYQus4s5l6whPr3Fzqsdx
0.534,0.0389,126.363,0.0424,0.186,4.7e-05,4,0.46,9,295280,-6.494,0.312,1,audio_features,spotify:track:5sqP9xwvTQoC3GWKyH8S4G
0.563,0.119,89.962,0.067,0.525,4.24e-05,4,0.788,9,246693,-10.924,0.359,1,audio_features,spotify:track:0duS0PFKn6yiGga9m6DxSc
0.706,0.71,84.306,0.345,0.336,0.0,4,0.573,0,346640,-5.807,0.672,1,audio_features,spotify:track:7zJMTuYvzszxJX7PqmPXs5
0.665,0.965,117.029,0.0724,0.581,0.0,4,0.353,0,412893,-8.445,0.396,1,audio_features,spotify:track:1fWqcoSyJrQ45qa57bifgL
0.567,0.742,79.674,0.0687,0.161,0.0,4,0.471,7,619827,-7.868,0.27,1,audio_features,spotify:track:4rdNE1rPwgTUo8hhP4Cbi2
0.465,0.721,78.177,0.246,0.717,0.0,4,0.512,5,389680,-12.664,0.343,1,audio_features,spotify:track:7FIHe9wfzmOAGMrmqPBkGm
0.714,0.731,82.826,0.417,0.348,0.0,4,0.62,0,344840,-5.87,0.702,1,audio_features,spotify:track:3gY2q8M3a03KpwOGj0zt88
0.673,0.253,91.592,0.0367,0.402,0.0,4,0.686,7,259693,-7.658,0.89,1,audio_features,spotify:track:0F46LTHbygFA3XidZglv4o
0.762,0.13,134.024,0.0418,0.443,0.0,4,0.778,9,278027,-9.424,0.634,1,audio_features,spotify:track:5YcnJNBgUcYkPyINuUb2Zb
0.341,0.0987,105.405,0.059,0.747,0.0,4,0.676,7,295333,-14.351,0.495,1,audio_features,spotify:track:5ifVQVLUnIk46RRZ90WH7S
0.346,0.144,150.833,0.0821,0.807,0.0,4,0.631,9,272440,-14.31,0.32,1,audio_features,spotify:track:2toGaMBQN5Ud1nkQX1asvY
0.673,0.0687,117.463,0.0754,0.339,0.0,4,0.837,9,238453,-10.332,0.885,1,audio_features,spotify:track:0RPwVt8fQ0A27ERtSSmxAe
0.706,0.45,119.991,0.0281,0.321,0.0,4,0.571,7,242880,-5.855,0.414,1,audio_features,spotify:track:0ycxYAX6UbfhOFk7XiorRc
0.881,0.321,206.752,0.0601,0.189,5.42e-06,4,0.369,10,235427,-11.716,0.562,1,audio_features,spotify:track:41JrRedwrJxbBPwI8Qku04
0.86,0.22,156.068,0.146,0.0651,0.0,4,0.653,2,290080,-5.365,0.827,1,audio_features,spotify:track:7qB8uUZdP0ShIUz1VyzfSI
0.719,0.135,114.489,0.0296,0.0737,4.07e-06,4,0.768,7,272627,-7.521,0.78,1,audio_features,spotify:track:13nyc1sxYqFDmaGyr1bmYP
0.545,0.615,91.977,0.0409,0.575,3.18e-06,4,0.575,7,288200,-12.212,0.353,1,audio_features,spotify:track:6Cc4tSox86TkR5ZogPsebp
0.601,0.977,87.977,0.0494,0.0346,0.0,4,0.597,3,258027,-9.333,0.488,1,audio_features,spotify:track:7Jp6ykfCHOCJp92aHSz3K2
0.795,0.676,171.668,0.0822,0.0234,0.0,4,0.524,2,281827,-6.792,0.606,1,audio_features,spotify:track:3mHM00zrF1fmDzlTzUAtPM
0.772,0.98,104.895,0.0466,0.0087,0.0,3,0.381,1,289760,-5.045,0.431,1,audio_features,spotify:track:6ZdpcPw8tGRPxqW1c4Cbxb
0.518,0.0983,93.878,0.0702,0.602,0.0,3,0.561,4,189107,-8.691,0.464,1,audio_features,spotify:track:6sG8qSVahalz0Bg1VZTnFs
0.556,0.415,75.959,0.0461,0.384,0.0,4,0.63,9,295373,-6.188,0.423,1,audio_features,spotify:track:5nZoN9TU6MATEcWg4NWVSa
0.658,0.135,170.462,0.136,0.312,1.5e-06,3,0.348,7,298933,-7.727,0.5,0,audio_features,spotify:track:2BHofa0kkJY7HV8Yxbgx0T
0.984,0.984,125.985,0.251,0.0306,0.0,4,0.584,4,274560,-5.57,0.363,1,audio_features,spotify:track:5tPGsnsuPrzbAMzUNWmx44
0.763,0.219,155.899,0.0371,0.141,0.0,4,0.564,4,227680,-6.706,0.863,1,audio_features,spotify:track:34DIwlo2i3s5Piug6nHzK9
0.564,0.204,115.975,0.0281,0.5,0.0,4,0.583,0,214387,-6.488,0.341,1,audio_features,spotify:track:3tiEGqbz4QWM3XwV2livG0
0.714,0.299,107.06,0.0381,0.49,1.18e-06,4,0.685,7,408640,-5.26,0.662,1,audio_features,spotify:track:4dxKwAjmZT9GRLhf4TQlK3
0.44,0.984,90.007,0.0479,0.109,0.0,4,0.577,7,259360,-8.545,0.227,0,audio_features,spotify:track:2LLMnnTph759xzyvnUqefm
0.545,0.73,78.627,0.543,0.1,0.0,4,0.515,10,324653,-8.765,0.477,1,audio_features,spotify:track:2W01qEZvwq4sGjje8RWSm4
0.517,0.981,136.962,0.066,0.139,0.0,3,0.459,0,452107,-8.576,0.493,1,audio_features,spotify:track:54FxYkqJZEEYSwNDemLigt
0.379,0.0796,113.245,0.0563,0.826,0.0,4,0.654,7,246747,-11.331,0.314,1,audio_features,spotify:track:6Lkqjj8WKpAnbfcMSI6u3Q
0.686,0.864,84.446,0.0376,0.358,0.0,4,0.628,7,362907,-6.633,0.474,1,audio_features,spotify:track:2PwlT72CyKMN2WzgCS4yUR
0.446,0.0988,155.18,0.108,0.545,7.49e-06,3,0.633,2,271227,-8.393,0.405,0,audio_features,spotify:track:345vfLn2QVIfN0cDWiaAzM
0.375,0.206,76.013,0.147,0.834,0.0,3,0.654,7,282800,-8.957,0.535,1,audio_features,spotify:track:0FfxAxOlgIUaemwaesR0V4
0.238,0.105,85.712,0.05,0.742,0.0,4,0.489,9,223040,-11.169,0.332,0,audio_features,spotify:track:4e1blN16IN1qvakljlKvUa
0.451,0.12,140.938,0.0384,0.893,1.66e-05,4,0.491,9,289507,-7.26,0.61,0,audio_features,spotify:track:36sFtd3RbkUDw1MALQz0vV
0.418,0.102,104.802,0.0297,0.907,0.000136,4,0.655,4,253053,-6.773,0.309,1,audio_features,spotify:track:1KPGUyKDgYzyXrd32icXmg
0.81,0.141,182.491,0.0761,0.205,0.000431,4,0.573,10,229133,-6.419,0.868,1,audio_features,spotify:track:17iXdEE3TrMzhaNifGmrgv
0.441,0.309,82.534,0.0772,0.518,0.0,3,0.674,9,305187,-7.039,0.194,1,audio_features,spotify:track:5xq9JrBQQ1r1bKx3P1QhB2
0.512,0.155,96.032,0.0455,0.649,3.22e-06,4,0.689,9,287413,-11.521,0.504,1,audio_features,spotify:track:1MT0Z24LifpPyEfxBN8ybR
0.526,0.309,204.784,0.0576,0.424,0.0,4,0.411,7,244493,-7.83,0.537,1,audio_features,spotify:track:7zJohXg6WkwH6qJklSbYud
0.652,0.0719,144.456,0.0319,0.24,0.000739,4,0.704,8,306080,-5.413,0.65,1,audio_features,spotify:track:0pFPpyFwDOQUyRW0qPNmNZ
0.324,0.0915,127.545,0.0322,0.798,2.66e-05,4,0.512,4,255333,-8.937,0.353,1,audio_features,spotify:track:6Wy3usruP6ZtAL7V0YNxBW
0.864,0.386,163.853,0.0514,0.689,2.46e-05,4,0.674,5,299107,-5.907,0.933,1,audio_features,spotify:track:2u5c1J9DcuzfKwgSkV9uTS
0.402,0.0938,96.006,0.0294,0.425,4.05e-05,4,0.762,11,283600,-9.756,0.413,1,audio_features,spotify:track:2tOOd984ggMSA8pd9U2nLd
